#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Pseudomonas aeruginosa,AUS154,19537,SAMN07423973 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839105.1 ,6.34137,66.5,-,NSXE01,26,6058,5894,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/105/GCF_003839105.1_ASM383910v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/105/GCA_003839105.1_ASM383910v1
Pseudomonas aeruginosa,AUS151,19537,SAMN07423972 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839125.1 ,6.31292,66.5,-,NSXF01,38,5985,5839,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/125/GCF_003839125.1_ASM383912v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/125/GCA_003839125.1_ASM383912v1
Pseudomonas aeruginosa,AUS148,19537,SAMN07423969 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839145.1 ,6.30151,66.4,-,NSXI01,56,5982,5771,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/145/GCF_003839145.1_ASM383914v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/145/GCA_003839145.1_ASM383914v1
Pseudomonas aeruginosa,AUS105,19537,SAMN07423961 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839175.1 ,6.2149,66.6,-,NSXQ01,24,5902,5753,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/175/GCF_003839175.1_ASM383917v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/175/GCA_003839175.1_ASM383917v1
Pseudomonas aeruginosa,AUS134,19537,SAMN07423967 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839205.1 ,6.18213,66.6,-,NSXK01,27,5848,5712,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/205/GCF_003839205.1_ASM383920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/205/GCA_003839205.1_ASM383920v1
Pseudomonas aeruginosa,AUS124,19537,SAMN07423966 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839215.1 ,6.27377,66.5,-,NSXL01,44,5969,5817,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/215/GCF_003839215.1_ASM383921v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/215/GCA_003839215.1_ASM383921v1
Pseudomonas aeruginosa,AUS089,19537,SAMN07423958 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839245.1 ,6.21891,66.4,-,NSXT01,34,5885,5730,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/245/GCF_003839245.1_ASM383924v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/245/GCA_003839245.1_ASM383924v1
Pseudomonas aeruginosa,AUS119,19537,SAMN07423964 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839255.1 ,6.30155,66.6,-,NSXN01,24,6002,5862,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/255/GCF_003839255.1_ASM383925v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/255/GCA_003839255.1_ASM383925v1
Pseudomonas aeruginosa,AUS077,19537,SAMN07423957 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839285.1 ,6.3742,66.4,-,NSXU01,55,6118,5893,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/285/GCF_003839285.1_ASM383928v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/285/GCA_003839285.1_ASM383928v1
Pseudomonas aeruginosa,AUS066,19537,SAMN07423955 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839305.1 ,6.22292,66.4,-,NSXW01,40,5907,5655,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/305/GCF_003839305.1_ASM383930v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/305/GCA_003839305.1_ASM383930v1
Pseudomonas aeruginosa,AUS702,19537,SAMN07423953 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839315.1 ,6.56451,66.3,-,NSXY01,46,6379,6207,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/315/GCF_003839315.1_ASM383931v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/315/GCA_003839315.1_ASM383931v1
Pseudomonas aeruginosa,AUS029,19537,SAMN07423952 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839345.1 ,6.16609,66.6,-,NSXZ01,21,5863,5724,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/345/GCF_003839345.1_ASM383934v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/345/GCA_003839345.1_ASM383934v1
Pseudomonas aeruginosa,AUS283,19537,SAMN07423949 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839375.1 ,6.80539,66.1,-,NSYC01,42,6510,6282,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/375/GCF_003839375.1_ASM383937v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/375/GCA_003839375.1_ASM383937v1
Pseudomonas aeruginosa,AUS073,19537,SAMN07423956 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839405.1 ,6.33472,66.5,-,NSXV01,58,6005,5834,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/405/GCF_003839405.1_ASM383940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/405/GCA_003839405.1_ASM383940v1
Pseudomonas aeruginosa,AUS355,19537,SAMN07423947 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839425.1 ,6.39759,66.4,-,NSYE01,38,6069,5916,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/425/GCF_003839425.1_ASM383942v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/425/GCA_003839425.1_ASM383942v1
Pseudomonas aeruginosa,AUS026,19537,SAMN07423951 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839465.1 ,6.21143,66.6,-,NSYA01,23,5901,5764,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/465/GCF_003839465.1_ASM383946v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/465/GCA_003839465.1_ASM383946v1
Pseudomonas aeruginosa,AUS504,19537,SAMN07423942 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839475.1 ,6.31726,66.5,-,NSYJ01,46,5965,5805,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/475/GCF_003839475.1_ASM383947v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/475/GCA_003839475.1_ASM383947v1
Pseudomonas aeruginosa,AUS304,19537,SAMN07423950 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839505.1 ,6.73524,66.1,-,NSYB01,81,6493,6237,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/505/GCF_003839505.1_ASM383950v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/505/GCA_003839505.1_ASM383950v1
Pseudomonas aeruginosa,AUS339,19537,SAMN07423939 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839525.1 ,6.43287,66.3,-,NSYM01,51,6158,5979,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/525/GCF_003839525.1_ASM383952v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/525/GCA_003839525.1_ASM383952v1
Pseudomonas aeruginosa,AUS471,19537,SAMN07423936 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839545.1 ,6.28392,66.6,-,NSYP01,36,5998,5835,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/545/GCF_003839545.1_ASM383954v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/545/GCA_003839545.1_ASM383954v1
Pseudomonas aeruginosa,AUS407,19537,SAMN07423932 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839565.1 ,6.53761,66.3,-,NSYT01,55,6260,6070,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/565/GCF_003839565.1_ASM383956v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/565/GCA_003839565.1_ASM383956v1
Pseudomonas aeruginosa,AUS336,19537,SAMN07423945 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839585.1 ,6.45172,66.3,-,NSYG01,31,6196,6021,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/585/GCF_003839585.1_ASM383958v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/585/GCA_003839585.1_ASM383958v1
Pseudomonas aeruginosa,AUS328,19537,SAMN07423941 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839625.1 ,6.3699,66.4,-,NSYK01,50,6072,5913,11/26/2018,11/30/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/625/GCF_003839625.1_ASM383962v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/625/GCA_003839625.1_ASM383962v1
Pseudomonas aeruginosa,AUS088,19537,SAMN07423930 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839665.1 ,6.13128,66.6,-,NSYV01,30,5804,5600,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/665/GCF_003839665.1_ASM383966v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/665/GCA_003839665.1_ASM383966v1
Pseudomonas aeruginosa,AUS083,19537,SAMN07423929 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839685.1 ,6.25462,66.5,-,NSYW01,43,5967,5806,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/685/GCF_003839685.1_ASM383968v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/685/GCA_003839685.1_ASM383968v1
Pseudomonas aeruginosa,AUS232,19537,SAMN07423925 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839755.1 ,6.56339,66.2,-,NSZA01,60,6229,5998,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/755/GCF_003839755.1_ASM383975v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/755/GCA_003839755.1_ASM383975v1
Pseudomonas aeruginosa,AUS225,19537,SAMN07423923 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839785.1 ,6.40419,66.4,-,NSZC01,36,6106,5956,11/26/2018,11/30/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/785/GCF_003839785.1_ASM383978v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/785/GCA_003839785.1_ASM383978v1
Pseudomonas aeruginosa,AUS275,19537,SAMN07423926 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839825.1 ,6.33942,66.5,-,NSYZ01,32,6058,5902,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/825/GCF_003839825.1_ASM383982v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/825/GCA_003839825.1_ASM383982v1
Pseudomonas aeruginosa,AUS465,19537,SAMN07423917 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839845.1 ,6.32907,66.5,-,NSZI01,37,6036,5875,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/845/GCF_003839845.1_ASM383984v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/845/GCA_003839845.1_ASM383984v1
Pseudomonas aeruginosa,AUS207,19537,SAMN07423916 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839865.1 ,6.31467,66.5,-,NSZJ01,26,6002,5861,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/865/GCF_003839865.1_ASM383986v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/865/GCA_003839865.1_ASM383986v1
Pseudomonas aeruginosa,AUS217,19537,SAMN07423922 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839875.1 ,6.37479,66.6,-,NSZD01,65,6143,5853,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/875/GCF_003839875.1_ASM383987v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/875/GCA_003839875.1_ASM383987v1
Pseudomonas aeruginosa,AUS502,19537,SAMN07423921 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839885.1 ,7.10533,65.9,-,NSZE01,59,6842,6618,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/885/GCF_003839885.1_ASM383988v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/885/GCA_003839885.1_ASM383988v1
Pseudomonas aeruginosa,AUS210,19537,SAMN07423919 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839915.1 ,6.356,66.5,-,NSZG01,33,6072,5903,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/915/GCF_003839915.1_ASM383991v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/915/GCA_003839915.1_ASM383991v1
Pseudomonas aeruginosa,39145,19537,SAMN07423908 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839945.1 ,6.71112,66.2,-,NSZR01,54,6521,6320,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/945/GCF_003839945.1_ASM383994v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/945/GCA_003839945.1_ASM383994v1
Pseudomonas aeruginosa,AUS438,19537,SAMN07423918 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839965.1 ,6.72857,66.1,-,NSZH01,61,6419,6212,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/965/GCF_003839965.1_ASM383996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/965/GCA_003839965.1_ASM383996v1
Pseudomonas aeruginosa,AUS205,19537,SAMN07423915 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839985.1 ,6.48428,66.3,-,NSZK01,60,6200,6005,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/985/GCF_003839985.1_ASM383998v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/985/GCA_003839985.1_ASM383998v1
Pseudomonas aeruginosa,AUS185,19537,SAMN07423911 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003839995.1 ,6.64153,66.2,-,NSZO01,50,6406,6217,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/839/995/GCF_003839995.1_ASM383999v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/839/995/GCA_003839995.1_ASM383999v1
Pseudomonas aeruginosa,AUS183,19537,SAMN07423910 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840005.1 ,6.42671,66.4,-,NSZP01,35,6093,5920,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/005/GCF_003840005.1_ASM384000v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/005/GCA_003840005.1_ASM384000v1
Pseudomonas aeruginosa,934436V,19537,SAMN07423907 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840045.1 ,6.74719,66.2,-,NSZS01,66,6451,6225,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/045/GCF_003840045.1_ASM384004v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/045/GCA_003840045.1_ASM384004v1
Pseudomonas aeruginosa,AT31,19537,SAMN07423905 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840085.1 ,7.35088,65.5,-,NSZU01,99,7199,6897,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/085/GCF_003840085.1_ASM384008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/085/GCA_003840085.1_ASM384008v1
Pseudomonas aeruginosa,152504sp2,19537,SAMN07423902 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840095.1 ,6.63935,66.2,-,NSZX01,40,6365,6174,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/095/GCF_003840095.1_ASM384009v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/095/GCA_003840095.1_ASM384009v1
Pseudomonas aeruginosa,886-1,19537,SAMN07423901 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840105.1 ,6.50891,66.3,-,NSZY01,37,6185,6009,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/105/GCF_003840105.1_ASM384010v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/105/GCA_003840105.1_ASM384010v1
Pseudomonas aeruginosa,994,19537,SAMN07423900 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840145.1 ,6.45547,66.4,-,NSZZ01,33,6144,5982,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/145/GCF_003840145.1_ASM384014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/145/GCA_003840145.1_ASM384014v1
Pseudomonas aeruginosa,1090,19537,SAMN07423899 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840155.1 ,6.48079,66.4,-,NTAA01,32,6211,6045,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/155/GCF_003840155.1_ASM384015v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/155/GCA_003840155.1_ASM384015v1
Pseudomonas aeruginosa,982,19537,SAMN07423898 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840165.1 ,6.47773,66.4,-,NTAB01,40,6152,6000,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/165/GCF_003840165.1_ASM384016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/165/GCA_003840165.1_ASM384016v1
Pseudomonas aeruginosa,856,19537,SAMN07423896 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840205.1 ,6.28219,66.4,-,NTAD01,43,6029,5798,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/205/GCF_003840205.1_ASM384020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/205/GCA_003840205.1_ASM384020v1
Pseudomonas aeruginosa,903,19537,SAMN07423895 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840215.1 ,6.41376,66.4,-,NTAE01,44,6123,5931,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/215/GCF_003840215.1_ASM384021v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/215/GCA_003840215.1_ASM384021v1
Pseudomonas aeruginosa,1098,19537,SAMN07423897 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840225.1 ,7.04535,65.9,-,NTAC01,63,6911,6652,11/26/2018,11/30/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/225/GCF_003840225.1_ASM384022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/225/GCA_003840225.1_ASM384022v1
Pseudomonas aeruginosa,PA-W49,19537,SAMN07423893 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840235.1 ,6.32606,66.6,-,NTAG01,48,6035,5883,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/235/GCF_003840235.1_ASM384023v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/235/GCA_003840235.1_ASM384023v1
Pseudomonas aeruginosa,AUS305,19537,SAMN07424003 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840285.1 ,6.42662,66.3,-,NSWA01,41,6154,5991,11/26/2018,12/3/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/285/GCF_003840285.1_ASM384028v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/285/GCA_003840285.1_ASM384028v1
Pseudomonas aeruginosa,AMT0071-76,19537,SAMN07424019 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840305.1 ,6.68504,66.1,-,NSVK01,57,6430,6237,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/305/GCF_003840305.1_ASM384030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/305/GCA_003840305.1_ASM384030v1
Pseudomonas aeruginosa,AUS440,19537,SAMN07423994 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840315.1 ,7.00378,66,-,NSWJ01,40,6761,6559,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/315/GCF_003840315.1_ASM384031v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/315/GCA_003840315.1_ASM384031v1
Pseudomonas aeruginosa,AMT0020-1,19537,SAMN07424014 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840345.1 ,6.30419,66.5,-,NSVP01,24,5980,5831,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/345/GCF_003840345.1_ASM384034v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/345/GCA_003840345.1_ASM384034v1
Pseudomonas aeruginosa,AMT0006-66,19537,SAMN07424012 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840365.1 ,6.3733,66.5,-,NSVR01,33,6110,5954,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/365/GCF_003840365.1_ASM384036v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/365/GCA_003840365.1_ASM384036v1
Pseudomonas aeruginosa,AUS675,19537,SAMN07423988 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840405.1 ,6.26701,66.6,-,NSWP01,38,5961,5816,11/26/2018,1/26/2019,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/405/GCF_003840405.1_ASM384040v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/405/GCA_003840405.1_ASM384040v1
Pseudomonas aeruginosa,AUS674,19537,SAMN07423987 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840425.1 ,6.49378,66.4,-,NSWQ01,38,6226,6065,11/26/2018,11/30/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/425/GCF_003840425.1_ASM384042v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/425/GCA_003840425.1_ASM384042v1
Pseudomonas aeruginosa,AUS631,19537,SAMN07423986 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840445.1 ,6.43036,66.4,-,NSWR01,37,6130,5953,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/445/GCF_003840445.1_ASM384044v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/445/GCA_003840445.1_ASM384044v1
Pseudomonas aeruginosa,AUS263,19537,SAMN07423985 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840455.1 ,6.41938,66.4,-,NSWS01,71,6167,6000,11/26/2018,11/30/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/455/GCF_003840455.1_ASM384045v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/455/GCA_003840455.1_ASM384045v1
Pseudomonas aeruginosa,AUS537,19537,SAMN07423989 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840465.1 ,6.63126,66.2,-,NSWO01,50,6328,6141,11/26/2018,11/29/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/465/GCF_003840465.1_ASM384046v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/465/GCA_003840465.1_ASM384046v1
Pseudomonas aeruginosa,AUS353,19537,SAMN07423984 ,PRJNA325248,Proteobacteria,Gammaproteobacteria,GCA_003840475.1 ,6.45005,66.4,-,NSWT01,51,6222,6044,11/26/2018,11/30/2018,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/840/475/GCF_003840475.1_ASM384047v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/840/475/GCA_003840475.1_ASM384047v1
